Model,N_Train_Paths,Run,Init,Test_Error
PANN,15,1,2,0.023182924836874008
Naive FFNN,20,1,2,10.683810234069824
PANN,20,1,2,0.5952717661857605
Naive FFNN,25,1,2,10.729591369628906
PANN,25,1,2,0.02948039025068283
Naive FFNN,30,1,2,8.89310359954834
PANN,30,1,2,0.06683718413114548
Naive FFNN,35,1,2,6.652064800262451
PANN,35,1,2,0.03005504608154297
Naive FFNN,40,1,2,5.34254789352417
PANN,40,1,2,0.03290167078375816
Naive FFNN,45,1,2,6.177803039550781
PANN,45,1,2,0.02987528033554554
Naive FFNN,50,1,2,4.55482816696167
PANN,50,1,2,0.03254810348153114
Naive FFNN,55,1,2,4.821081638336182
PANN,55,1,2,0.04433182626962662
Naive FFNN,60,1,2,4.645264148712158
PANN,60,1,2,0.04251065477728844
Naive FFNN,65,1,2,4.0646748542785645
PANN,65,1,2,0.024153267964720726
Naive FFNN,70,1,2,4.8609514236450195
PANN,70,1,2,0.05432888865470886
Naive FFNN,75,1,2,2.739069700241089
PANN,75,1,2,0.02735074609518051
Naive FFNN,80,1,2,4.450319766998291
PANN,80,1,2,0.045555636286735535
Naive FFNN,85,1,2,3.648672580718994
PANN,85,1,2,0.022812020033597946
Naive FFNN,90,1,2,2.699162244796753
PANN,90,1,2,0.02178662084043026
Naive FFNN,95,1,2,2.5930120944976807
PANN,95,1,2,0.04250410944223404
Naive FFNN,1,1,3,12.49102783203125
PANN,1,1,3,0.36884474754333496
Naive FFNN,5,1,3,10.196718215942383
PANN,5,1,3,0.024369196966290474
Naive FFNN,10,1,3,12.633217811584473
PANN,10,1,3,0.6047878861427307
Naive FFNN,15,1,3,11.523173332214355
PANN,15,1,3,0.03441834822297096
Naive FFNN,20,1,3,11.129864692687988
PANN,20,1,3,0.4045621454715729
Naive FFNN,25,1,3,9.026229858398438
PANN,25,1,3,0.038754720240831375
Naive FFNN,30,1,3,7.929022789001465
PANN,30,1,3,0.037458714097738266
Naive FFNN,35,1,3,8.498321533203125
PANN,35,1,3,0.030150454491376877
Naive FFNN,40,1,3,6.481247901916504
PANN,40,1,3,0.028809957206249237
Naive FFNN,45,1,3,4.857518672943115
PANN,45,1,3,0.06194170191884041
Naive FFNN,50,1,3,5.31770658493042
PANN,50,1,3,0.03429626300930977
Naive FFNN,55,1,3,5.716784477233887
PANN,55,1,3,0.018240364268422127
Naive FFNN,60,1,3,6.011608600616455
PANN,60,1,3,0.03147076815366745
Naive FFNN,65,1,3,3.9682528972625732
PANN,65,1,3,0.021734194830060005
Naive FFNN,70,1,3,4.610038757324219
PANN,70,1,3,0.08232235908508301
Naive FFNN,75,1,3,3.2140719890594482
PANN,75,1,3,0.029013896360993385
Naive FFNN,80,1,3,4.1187872886657715
PANN,80,1,3,0.03199771046638489
Naive FFNN,85,1,3,4.085784912109375
PANN,85,1,3,0.024127352982759476
Naive FFNN,90,1,3,2.9966657161712646
PANN,90,1,3,0.023459572345018387
Naive FFNN,95,1,3,2.3435966968536377
PANN,95,1,3,0.03664509207010269
Naive FFNN,1,1,4,13.185312271118164
PANN,1,1,4,0.30610543489456177
Naive FFNN,5,1,4,12.42659854888916
PANN,5,1,4,0.0575326532125473
Naive FFNN,10,1,4,16.54892349243164
PANN,10,1,4,0.4300213158130646
Naive FFNN,15,1,4,12.84751033782959
PANN,15,1,4,0.03447278216481209
Naive FFNN,20,1,4,9.84633731842041
PANN,20,1,4,0.4300176501274109
Naive FFNN,25,1,4,11.667872428894043
PANN,25,1,4,0.039940934628248215
Naive FFNN,30,1,4,10.843013763427734
PANN,30,1,4,0.03519284725189209
Naive FFNN,35,1,4,6.269721508026123
PANN,35,1,4,0.03725973889231682
Naive FFNN,40,1,4,6.405126094818115
PANN,40,1,4,0.04927509278059006
Naive FFNN,45,1,4,5.365241050720215
PANN,45,1,4,0.03024144098162651
Naive FFNN,50,1,4,5.02568244934082
PANN,50,1,4,0.052093278616666794
Naive FFNN,55,1,4,3.475099563598633
PANN,55,1,4,0.02687699720263481
Naive FFNN,60,1,4,4.39968729019165
PANN,60,1,4,0.06508266180753708
Naive FFNN,65,1,4,3.391481399536133
PANN,65,1,4,0.025352710857987404
Naive FFNN,70,1,4,4.367480754852295
PANN,70,1,4,0.06631795316934586
Naive FFNN,75,1,4,2.8759377002716064
PANN,75,1,4,0.01985851116478443
Naive FFNN,80,1,4,3.473477363586426
PANN,80,1,4,0.030785376206040382
Naive FFNN,85,1,4,3.4653685092926025
PANN,85,1,4,0.04080831632018089
Naive FFNN,90,1,4,2.7109062671661377
PANN,90,1,4,0.03011048398911953
Naive FFNN,95,1,4,3.33161997795105
PANN,95,1,4,0.06441628932952881
Naive FFNN,1,2,0,13.204856872558594
PANN,1,2,0,0.5659430027008057
Naive FFNN,5,2,0,11.456727981567383
PANN,5,2,0,0.0295210313051939
Naive FFNN,10,2,0,12.144758224487305
PANN,10,2,0,0.7712147831916809
Naive FFNN,15,2,0,17.35159683227539
PANN,15,2,0,0.035089705139398575
Naive FFNN,20,2,0,17.743701934814453
PANN,20,2,0,0.03536136448383331
Naive FFNN,25,2,0,8.392437934875488
PANN,25,2,0,0.15185333788394928
Naive FFNN,30,2,0,7.489723205566406
PANN,30,2,0,0.05301462858915329
Naive FFNN,35,2,0,7.937232494354248
PANN,35,2,0,0.03210851550102234
Naive FFNN,40,2,0,9.036795616149902
PANN,40,2,0,0.0260298028588295
Naive FFNN,45,2,0,5.507387161254883
PANN,45,2,0,0.03429587930440903
Naive FFNN,50,2,0,6.023666858673096
PANN,50,2,0,0.023473381996154785
Naive FFNN,55,2,0,4.392071723937988
PANN,55,2,0,0.047792669385671616
Naive FFNN,60,2,0,3.7449758052825928
PANN,60,2,0,0.04184192419052124
Naive FFNN,65,2,0,3.2365169525146484
PANN,65,2,0,0.019811946898698807
Naive FFNN,70,2,0,4.493185520172119
PANN,70,2,0,0.026214556768536568
Naive FFNN,75,2,0,2.9568915367126465
PANN,75,2,0,0.05071452632546425
Naive FFNN,80,2,0,2.6050684452056885
PANN,80,2,0,0.029279675334692
Naive FFNN,85,2,0,2.9270925521850586
PANN,85,2,0,0.04207928851246834
Naive FFNN,90,2,0,2.9476003646850586
PANN,90,2,0,0.04426979646086693
Naive FFNN,95,2,0,3.6305811405181885
PANN,95,2,0,0.039250362664461136
Naive FFNN,1,2,1,11.295815467834473
PANN,1,2,1,0.48439422249794006
Naive FFNN,5,2,1,13.410305976867676
PANN,5,2,1,0.024552220478653908
Naive FFNN,10,2,1,12.290379524230957
PANN,10,2,1,0.9532933831214905
Naive FFNN,15,2,1,10.84131145477295
PANN,15,2,1,0.02669091336429119
Naive FFNN,20,2,1,13.77643871307373
PANN,20,2,1,0.053535137325525284
Naive FFNN,25,2,1,8.229506492614746
PANN,25,2,1,0.1482124924659729
Naive FFNN,30,2,1,7.982853889465332
PANN,30,2,1,0.04635037109255791
Naive FFNN,35,2,1,7.656025409698486
PANN,35,2,1,0.03348700702190399
Naive FFNN,40,2,1,8.070947647094727
PANN,40,2,1,0.02397783286869526
Naive FFNN,45,2,1,4.4164605140686035
PANN,45,2,1,0.05169546231627464
Naive FFNN,50,2,1,5.93462610244751
PANN,50,2,1,0.026372091844677925
Naive FFNN,55,2,1,4.8094940185546875
PANN,55,2,1,0.027420660480856895
Naive FFNN,60,2,1,3.897916316986084
PANN,60,2,1,0.027125127613544464
Naive FFNN,65,2,1,3.1983911991119385
PANN,65,2,1,0.025799967348575592
Naive FFNN,70,2,1,3.9249682426452637
PANN,70,2,1,0.0855870246887207
Naive FFNN,75,2,1,2.754460096359253
PANN,75,2,1,0.046438563615083694
Naive FFNN,80,2,1,3.063901662826538
PANN,80,2,1,0.04870348051190376
Naive FFNN,85,2,1,2.9302783012390137
PANN,85,2,1,0.03760123625397682
Naive FFNN,90,2,1,5.016653537750244
PANN,90,2,1,0.029714591801166534
Naive FFNN,95,2,1,2.9511899948120117
PANN,95,2,1,0.06389165669679642
Naive FFNN,1,2,2,13.118274688720703
PANN,1,2,2,0.7001962065696716
Naive FFNN,5,2,2,14.37939167022705
PANN,5,2,2,0.02595711126923561
Naive FFNN,10,2,2,12.133967399597168
PANN,10,2,2,0.5619049668312073
Naive FFNN,15,2,2,13.239133834838867
PANN,15,2,2,0.025533217936754227
Naive FFNN,20,2,2,11.852946281433105
PANN,20,2,2,0.02723735198378563
Naive FFNN,25,2,2,7.441020965576172
PANN,25,2,2,0.2236802726984024
Naive FFNN,30,2,2,9.992875099182129
PANN,30,2,2,0.03851453587412834
Naive FFNN,35,2,2,8.764511108398438
PANN,35,2,2,0.048998504877090454
Naive FFNN,40,2,2,6.020204067230225
PANN,40,2,2,0.02384907566010952
Naive FFNN,45,2,2,5.119136333465576
PANN,45,2,2,0.023638617247343063
Naive FFNN,50,2,2,4.457375526428223
PANN,50,2,2,0.035504650324583054
Naive FFNN,55,2,2,5.354746341705322
PANN,55,2,2,0.043053336441516876
Naive FFNN,60,2,2,4.366882801055908
PANN,60,2,2,0.04225318878889084
Naive FFNN,65,2,2,4.274561405181885
PANN,65,2,2,0.02091481164097786
Naive FFNN,70,2,2,4.912259101867676
PANN,70,2,2,0.04064708948135376
Naive FFNN,75,2,2,2.864779233932495
PANN,75,2,2,0.04090284928679466
Naive FFNN,80,2,2,3.0098485946655273
PANN,80,2,2,0.05249953642487526
Naive FFNN,85,2,2,2.9741876125335693
PANN,85,2,2,0.04482182115316391
Naive FFNN,90,2,2,4.143702507019043
PANN,90,2,2,0.043558236211538315
Naive FFNN,95,2,2,3.077197790145874
PANN,95,2,2,0.06317636370658875
Naive FFNN,1,2,3,13.652310371398926
PANN,1,2,3,0.5632820725440979
Naive FFNN,5,2,3,11.437335968017578
PANN,5,2,3,0.02877112105488777
Naive FFNN,10,2,3,12.344706535339355
PANN,10,2,3,0.9984106421470642
Naive FFNN,15,2,3,10.535104751586914
PANN,15,2,3,0.02656683698296547
Naive FFNN,20,2,3,14.399608612060547
PANN,20,2,3,0.022741975262761116
Naive FFNN,25,2,3,9.801905632019043
PANN,25,2,3,0.18146494030952454
Naive FFNN,30,2,3,8.858792304992676
PANN,30,2,3,0.03397270292043686
Naive FFNN,35,2,3,8.172836303710938
PANN,35,2,3,0.04570028930902481
Naive FFNN,40,2,3,6.318302631378174
PANN,40,2,3,0.02613554708659649
Naive FFNN,45,2,3,4.830707550048828
PANN,45,2,3,0.04395197331905365
Naive FFNN,50,2,3,6.960958003997803
PANN,50,2,3,0.03469158709049225
Naive FFNN,55,2,3,3.556702136993408
PANN,55,2,3,0.026080233976244926
Naive FFNN,60,2,3,4.717156410217285
PANN,60,2,3,0.048291441053152084
Naive FFNN,65,2,3,3.80702543258667
PANN,65,2,3,0.031159285455942154
Naive FFNN,70,2,3,3.9900944232940674
PANN,70,2,3,0.02066386304795742
Naive FFNN,75,2,3,3.5897467136383057
PANN,75,2,3,0.04824584349989891
Naive FFNN,80,2,3,3.5510928630828857
PANN,80,2,3,0.029176171869039536
Naive FFNN,85,2,3,3.241694688796997
PANN,85,2,3,0.05231340602040291
Naive FFNN,90,2,3,4.062510013580322
PANN,90,2,3,0.031125187873840332
Naive FFNN,95,2,3,3.2077465057373047
PANN,95,2,3,0.04191046580672264
Naive FFNN,1,2,4,12.36925983428955
PANN,1,2,4,0.7866012454032898
Naive FFNN,5,2,4,12.872136116027832
PANN,5,2,4,0.027389096096158028
Naive FFNN,10,2,4,12.420746803283691
PANN,10,2,4,0.9068801403045654
Naive FFNN,15,2,4,10.817602157592773
PANN,15,2,4,0.059205520898103714
Naive FFNN,20,2,4,15.9345703125
PANN,20,2,4,0.025107264518737793
Naive FFNN,25,2,4,8.810799598693848
PANN,25,2,4,0.13090121746063232
Naive FFNN,30,2,4,9.351409912109375
PANN,30,2,4,0.03440065309405327
Naive FFNN,35,2,4,9.07903003692627
PANN,35,2,4,0.027035081759095192
Naive FFNN,40,2,4,7.013541221618652
PANN,40,2,4,0.030085796490311623
Naive FFNN,45,2,4,5.068187236785889
PANN,45,2,4,0.025647806003689766
Naive FFNN,50,2,4,4.818568706512451
PANN,50,2,4,0.04550180956721306
Naive FFNN,55,2,4,4.941885948181152
PANN,55,2,4,0.036828406155109406
Naive FFNN,60,2,4,3.494373083114624
PANN,60,2,4,0.021181240677833557
Naive FFNN,65,2,4,4.304296016693115
PANN,65,2,4,0.037418365478515625
Naive FFNN,70,2,4,4.961084365844727
PANN,70,2,4,0.03858542442321777
Naive FFNN,75,2,4,3.2683510780334473
PANN,75,2,4,0.04593922570347786
Naive FFNN,80,2,4,3.4284870624542236
PANN,80,2,4,0.02820298820734024
Naive FFNN,85,2,4,3.2573490142822266
PANN,85,2,4,0.028427427634596825
Naive FFNN,90,2,4,4.558105945587158
PANN,90,2,4,0.023615751415491104
Naive FFNN,95,2,4,2.4942820072174072
PANN,95,2,4,0.05700330436229706
Naive FFNN,1,3,0,12.728106498718262
PANN,1,3,0,0.41236796975135803
Naive FFNN,5,3,0,14.104106903076172
PANN,5,3,0,0.021703878417611122
Naive FFNN,10,3,0,15.956738471984863
PANN,10,3,0,0.029910501092672348
Naive FFNN,15,3,0,10.76008415222168
PANN,15,3,0,0.290462851524353
Naive FFNN,20,3,0,17.07547950744629
PANN,20,3,0,0.03851071745157242
Naive FFNN,25,3,0,9.901381492614746
PANN,25,3,0,0.05071265995502472
Naive FFNN,30,3,0,9.182554244995117
PANN,30,3,0,0.03639034554362297
Naive FFNN,35,3,0,6.472831726074219
PANN,35,3,0,0.020357033237814903
Naive FFNN,40,3,0,7.707077503204346
PANN,40,3,0,0.03466660529375076
Naive FFNN,45,3,0,6.179372787475586
PANN,45,3,0,0.04160299152135849
Naive FFNN,50,3,0,4.545581340789795
PANN,50,3,0,0.03304976969957352
Naive FFNN,55,3,0,5.02011251449585
PANN,55,3,0,0.055380068719387054
Naive FFNN,60,3,0,4.534688949584961
PANN,60,3,0,0.029628125950694084
Naive FFNN,65,3,0,3.8204805850982666
PANN,65,3,0,0.028299016878008842
Naive FFNN,70,3,0,3.992609977722168
PANN,70,3,0,0.03669152781367302
Naive FFNN,75,3,0,3.6171343326568604
PANN,75,3,0,0.031192202121019363
Naive FFNN,80,3,0,4.496243476867676
PANN,80,3,0,0.03621133789420128
Naive FFNN,85,3,0,2.9200384616851807
PANN,85,3,0,0.021479865536093712
Naive FFNN,90,3,0,3.004335880279541
PANN,90,3,0,0.031944502145051956
Naive FFNN,95,3,0,2.39664363861084
PANN,95,3,0,0.031079594045877457
Naive FFNN,1,3,1,12.75055980682373
PANN,1,3,1,0.3896144926548004
Naive FFNN,5,3,1,12.279489517211914
PANN,5,3,1,0.021195145323872566
Naive FFNN,10,3,1,13.79403018951416
PANN,10,3,1,0.08176828175783157
Naive FFNN,15,3,1,11.705111503601074
PANN,15,3,1,0.4161940813064575
Naive FFNN,20,3,1,13.272037506103516
PANN,20,3,1,0.024927541613578796
Naive FFNN,25,3,1,9.343605041503906
PANN,25,3,1,0.07247630506753922
Naive FFNN,30,3,1,8.291272163391113
PANN,30,3,1,0.048949431627988815
Naive FFNN,35,3,1,6.211241722106934
PANN,35,3,1,0.018276335671544075
Naive FFNN,40,3,1,6.40460205078125
PANN,40,3,1,0.04950184375047684
Naive FFNN,45,3,1,6.3805155754089355
PANN,45,3,1,0.024857429787516594
Naive FFNN,50,3,1,3.7167117595672607
PANN,50,3,1,0.028972571715712547
Naive FFNN,55,3,1,4.4653706550598145
PANN,55,3,1,0.05012045055627823
Naive FFNN,60,3,1,5.302823066711426
PANN,60,3,1,0.02702718786895275
Naive FFNN,65,3,1,4.241008281707764
PANN,65,3,1,0.04206085950136185
Naive FFNN,70,3,1,4.11752986907959
PANN,70,3,1,0.017808251082897186
Naive FFNN,75,3,1,3.157912492752075
PANN,75,3,1,0.025450482964515686
Naive FFNN,80,3,1,4.332540035247803
PANN,80,3,1,0.04884430766105652
Naive FFNN,85,3,1,3.100727081298828
PANN,85,3,1,0.06198757141828537
